INFO: seeding the RNG with 42
INFO: Initializing backend 
INFO: Simulation type: VMMC
INFO: The generator will try to take into account bonded interactions by choosing distances between bonded neighbours no larger than 2.000000
INFO: Converting temperature from Kelvin (334.000000 K) to simulation units (0.111333)
INFO: Temperature change detected (new temperature: 60.85 C, 334.00 K), re-initialising the DNA interaction
INFO: pid: 9
INFO: (Cells.cpp) N_cells_side: 4, 4, 4; rcut=1.58377, IS_MC: 1
INFO: N: 18, N molecules: 1
WARNING: maxclust < 0, setting it to N = 18
INFO: Not attempting to preserve topology; max_move_size = 21.6325
INFO: RELEASE: 
INFO: GIT COMMIT: 6646e7b
INFO: COMPILED ON: 04/10/22
INFO: diffusion fixed.. -11.6786 -11.6786
INFO: diffusion fixed.. -5.8659 -5.8659
INFO: diffusion fixed.. -7.68407 -7.68407
INFO: diffusion fixed.. -7.88734 -7.88734
INFO: diffusion fixed.. -10.6876 -10.6876
INFO: diffusion fixed.. -16.7254 -16.7254
INFO: diffusion fixed.. -11.3821 -11.3821
INFO: diffusion fixed.. -11.1833 -11.1833
INFO: diffusion fixed.. -5.82912 -5.82912
INFO: diffusion fixed.. -20.1037 -20.1037
INFO: diffusion fixed.. -19.7482 -19.7482
INFO: diffusion fixed.. -20.8413 -20.8413
INFO: diffusion fixed.. -17.0321 -17.0321
INFO: diffusion fixed.. -21.9169 -21.9169
INFO: diffusion fixed.. -22.4799 -22.4799
INFO: diffusion fixed.. -20.7858 -20.7858
INFO: diffusion fixed.. -22.2651 -22.2651
INFO: diffusion fixed.. -18.1492 -18.1492
INFO: diffusion fixed.. -21.3967 -21.3967
INFO: diffusion fixed.. -22.0808 -22.0808
INFO: diffusion fixed.. -21.391 -21.391
INFO: diffusion fixed.. -20.6355 -20.6355
INFO: diffusion fixed.. -22.3425 -22.3425
INFO: diffusion fixed.. -15.5453 -15.5453
INFO: diffusion fixed.. -20.2231 -20.2231
INFO: diffusion fixed.. -18.9038 -18.9038
INFO: diffusion fixed.. -8.60076 -8.60076
INFO: diffusion fixed.. -10.119 -10.119
INFO: diffusion fixed.. -7.74673 -7.74673
INFO: diffusion fixed.. -8.94989 -8.94989
INFO: diffusion fixed.. -7.49667 -7.49667
INFO: diffusion fixed.. -11.4068 -11.4068
INFO: diffusion fixed.. -10.0097 -10.0097
INFO: diffusion fixed.. -10.8611 -10.8611
INFO: diffusion fixed.. -12.912 -12.912
INFO: diffusion fixed.. -10.7177 -10.7177
INFO: diffusion fixed.. -10.0526 -10.0526
INFO: diffusion fixed.. -11.0046 -11.0046
INFO: diffusion fixed.. -21.4574 -21.4574
INFO: diffusion fixed.. -16.7913 -16.7913
INFO: diffusion fixed.. -20.6332 -20.6332
INFO: diffusion fixed.. -22.1472 -22.1472
INFO: diffusion fixed.. -6.59136 -6.59136
INFO: diffusion fixed.. -6.52643 -6.52643
INFO: diffusion fixed.. -6.54255 -6.54255
INFO: diffusion fixed.. -8.57645 -8.57645
INFO: diffusion fixed.. -12.7083 -12.7083
INFO: diffusion fixed.. -9.33544 -9.33544
INFO: diffusion fixed.. -10.1709 -10.1709
INFO: diffusion fixed.. -7.61442 -7.61442
INFO: diffusion fixed.. -13.0445 -13.0445
INFO: diffusion fixed.. -8.84219 -8.84219
INFO: diffusion fixed.. -14.2867 -14.2867
INFO: diffusion fixed.. -9.69594 -9.69594
INFO: diffusion fixed.. -9.26191 -9.26191
INFO: diffusion fixed.. -6.81663 -6.81663
INFO: diffusion fixed.. -12.9126 -12.9126
INFO: diffusion fixed.. -11.9134 -11.9134
INFO: diffusion fixed.. -10.5521 -10.5521
INFO: diffusion fixed.. -18.6481 -18.6481
INFO: diffusion fixed.. -22.0439 -22.0439
INFO: diffusion fixed.. -20.8708 -20.8708
INFO: diffusion fixed.. -23.8925 -23.8925
INFO: diffusion fixed.. -23.0204 -23.0204
INFO: diffusion fixed.. -18.5973 -18.5973
INFO: diffusion fixed.. -22.1754 -22.1754
INFO: diffusion fixed.. -19.4296 -19.4296
INFO: diffusion fixed.. -22.7669 -22.7669
INFO: diffusion fixed.. -21.185 -21.185
INFO: diffusion fixed.. -18.1709 -18.1709
INFO: diffusion fixed.. -20.7878 -20.7878
INFO: diffusion fixed.. -21.7168 -21.7168
INFO: diffusion fixed.. -20.3848 -20.3848
INFO: diffusion fixed.. -17.5526 -17.5526
INFO: diffusion fixed.. -21.3055 -21.3055
INFO: diffusion fixed.. -18.8961 -18.8961
INFO: diffusion fixed.. -21.9162 -21.9162
INFO: diffusion fixed.. -23.9349 -23.9349
INFO: diffusion fixed.. -21.4991 -21.4991
INFO: diffusion fixed.. -13.484 -13.484
INFO: diffusion fixed.. -20.2407 -20.2407
INFO: diffusion fixed.. -21.7512 -21.7512
INFO: diffusion fixed.. -21.6662 -21.6662
INFO: diffusion fixed.. -18.9321 -18.9321
INFO: diffusion fixed.. -15.9935 -15.9935
INFO: diffusion fixed.. -17.2658 -17.2658
INFO: diffusion fixed.. -21.1051 -21.1051
INFO: diffusion fixed.. -21.5922 -21.5922
INFO: diffusion fixed.. -22.1611 -22.1611
INFO: diffusion fixed.. -18.0959 -18.0959
INFO: diffusion fixed.. -16.2463 -16.2463
INFO: diffusion fixed.. -17.3894 -17.3894
INFO: diffusion fixed.. -17.8842 -17.8842
INFO: diffusion fixed.. -24.2501 -24.2501
INFO: diffusion fixed.. -16.6307 -16.6307
INFO: diffusion fixed.. -22.3123 -22.3123
INFO: diffusion fixed.. -21.5277 -21.5277
INFO: diffusion fixed.. -20.3889 -20.3889
INFO: diffusion fixed.. -16.7406 -16.7406
INFO: diffusion fixed.. -23.1885 -23.1885
INFO: diffusion fixed.. -19.4908 -19.4908
INFO: diffusion fixed.. -18.307 -18.307
INFO: diffusion fixed.. -23.8684 -23.8684
INFO: diffusion fixed.. -15.3054 -15.3054
INFO: diffusion fixed.. -12.1956 -12.1956
INFO: diffusion fixed.. -11.148 -11.148
INFO: diffusion fixed.. -10.3965 -10.3965
INFO: diffusion fixed.. -11.0805 -11.0805
INFO: diffusion fixed.. -9.08711 -9.08711
INFO: diffusion fixed.. -9.71703 -9.71703
INFO: diffusion fixed.. -9.22053 -9.22053
INFO: diffusion fixed.. -12.1494 -12.1494
INFO: diffusion fixed.. -6.27047 -6.27047
INFO: diffusion fixed.. -9.65684 -9.65684
INFO: diffusion fixed.. -11.2074 -11.2074
INFO: diffusion fixed.. -14.165 -14.165
INFO: diffusion fixed.. -7.01408 -7.01408
INFO: diffusion fixed.. -21.8992 -21.8992
INFO: diffusion fixed.. -21.9567 -21.9567
INFO: diffusion fixed.. -19.5065 -19.5065
INFO: diffusion fixed.. -19.22 -19.22
INFO: diffusion fixed.. -12.7905 -12.7905
INFO: diffusion fixed.. -8.44353 -8.44353
INFO: diffusion fixed.. -7.527 -7.527
INFO: diffusion fixed.. -16.1428 -16.1428
INFO: diffusion fixed.. -10.5885 -10.5885
INFO: diffusion fixed.. -7.21978 -7.21978
INFO: diffusion fixed.. -12.8037 -12.8037
INFO: diffusion fixed.. -7.22762 -7.22762
INFO: diffusion fixed.. -12.1082 -12.1082
INFO: diffusion fixed.. -8.51304 -8.51304
INFO: diffusion fixed.. -9.21683 -9.21683
INFO: diffusion fixed.. -11.3431 -11.3431
INFO: diffusion fixed.. -12.0308 -12.0308
INFO: diffusion fixed.. -9.08799 -9.08799
INFO: diffusion fixed.. -13.8457 -13.8457
INFO: diffusion fixed.. -9.01264 -9.01264
INFO: diffusion fixed.. -10.7973 -10.7973
INFO: diffusion fixed.. -6.40845 -6.40845
INFO: diffusion fixed.. -7.16987 -7.16987
INFO: diffusion fixed.. -8.13191 -8.13191
INFO: diffusion fixed.. -12.2121 -12.2121
INFO: diffusion fixed.. -4.39469 -4.39469
INFO: diffusion fixed.. -7.86221 -7.86221
INFO: diffusion fixed.. -7.58729 -7.58729
INFO: diffusion fixed.. -8.22823 -8.22823
INFO: diffusion fixed.. -9.40233 -9.40233
INFO: diffusion fixed.. -7.0669 -7.0669
INFO: diffusion fixed.. -8.16957 -8.16957
INFO: diffusion fixed.. -12.4473 -12.4473
INFO: diffusion fixed.. -9.24487 -9.24487
INFO: diffusion fixed.. -11.0268 -11.0268
INFO: diffusion fixed.. -11.3959 -11.3959
INFO: diffusion fixed.. -9.59969 -9.59969
INFO: diffusion fixed.. -18.3089 -18.3089
INFO: diffusion fixed.. -20.8532 -20.8532
INFO: diffusion fixed.. -19.248 -19.248
INFO: diffusion fixed.. -13.4734 -13.4734
INFO: diffusion fixed.. -8.94417 -8.94417
INFO: diffusion fixed.. -9.224 -9.224
INFO: diffusion fixed.. -7.4012 -7.4012
INFO: diffusion fixed.. -10.2676 -10.2676
INFO: diffusion fixed.. -21.4225 -21.4225
INFO: diffusion fixed.. -16.3838 -16.3838
INFO: diffusion fixed.. -20.5972 -20.5972
INFO: diffusion fixed.. -19.8362 -19.8362
INFO: diffusion fixed.. -19.801 -19.801
INFO: diffusion fixed.. -20.2162 -20.2162
INFO: diffusion fixed.. -20.4469 -20.4469
INFO: diffusion fixed.. -23.5178 -23.5178
INFO: diffusion fixed.. -20.0587 -20.0587
INFO: diffusion fixed.. -18.6385 -18.6385
INFO: diffusion fixed.. -16.5157 -16.5157
INFO: diffusion fixed.. -8.51101 -8.51101
INFO: diffusion fixed.. -6.06025 -6.06025
INFO: diffusion fixed.. -12.4092 -12.4092
INFO: diffusion fixed.. -11.4002 -11.4002
INFO: diffusion fixed.. -11.5803 -11.5803
INFO: diffusion fixed.. -10.1473 -10.1473
INFO: diffusion fixed.. -8.42561 -8.42561
INFO: diffusion fixed.. -10.8475 -10.8475
INFO: diffusion fixed.. -12.5149 -12.5149
INFO: diffusion fixed.. -12.1705 -12.1705
INFO: diffusion fixed.. -5.90682 -5.90682
INFO: diffusion fixed.. -5.95741 -5.95741
INFO: diffusion fixed.. -7.4592 -7.4592
INFO: diffusion fixed.. -12.8241 -12.8241
INFO: diffusion fixed.. -9.01667 -9.01667
INFO: diffusion fixed.. -10.2855 -10.2855
INFO: diffusion fixed.. -8.71945 -8.71945
INFO: diffusion fixed.. -16.186 -16.186
INFO: diffusion fixed.. -11.7839 -11.7839
INFO: diffusion fixed.. -6.38296 -6.38296
INFO: diffusion fixed.. -10.392 -10.392
INFO: diffusion fixed.. -11.7307 -11.7307
INFO: diffusion fixed.. -14.5457 -14.5457
INFO: diffusion fixed.. -7.11712 -7.11712
INFO: diffusion fixed.. -18.4763 -18.4763
INFO: diffusion fixed.. -18.1786 -18.1786
INFO: diffusion fixed.. -18.9019 -18.9019
INFO: diffusion fixed.. -18.5526 -18.5526
INFO: diffusion fixed.. -21.8335 -21.8335
INFO: diffusion fixed.. -22.5773 -22.5773
INFO: diffusion fixed.. -21.9257 -21.9257
INFO: diffusion fixed.. -18.8728 -18.8728
INFO: diffusion fixed.. -20.7213 -20.7213
INFO: diffusion fixed.. -20.9315 -20.9315
INFO: diffusion fixed.. -23.8791 -23.8791
INFO: diffusion fixed.. -23.6385 -23.6385
INFO: diffusion fixed.. -20.6199 -20.6199
INFO: diffusion fixed.. -22.4171 -22.4171
INFO: diffusion fixed.. -17.0448 -17.0448
INFO: diffusion fixed.. -17.2266 -17.2266
INFO: diffusion fixed.. -18.944 -18.944
INFO: diffusion fixed.. -20.4773 -20.4773
INFO: diffusion fixed.. -22.1958 -22.1958
INFO: diffusion fixed.. -21.0042 -21.0042
INFO: diffusion fixed.. -21.5899 -21.5899
INFO: diffusion fixed.. -22.9959 -22.9959
